Date,AEM.TO,AGU.TO,ARX.TO,BMO.TO,BNS.TO,ABX.TO,BCE.TO,BB.TO,BBD-B.TO,BAM-A.TO,CCO.TO,CM.TO,CNR.TO,CNQ.TO,COS.TO,CP.TO,CTC-A.TO,CCT.TO,CVE.TO,GIB-A.TO,CPG.TO,ELD.TO,ENB.TO,ECA.TO,ERF.TO,FM.TO,FTS.TO,WN.TO,GIL.TO,G.TO,HSE.TO,IMO.TO,K.TO,L.TO,MG.TO,MFC.TO,MRU.TO,NA.TO,PPL.TO,PWT.TO,POT.TO,POW.TO,RCI-B.TO,RY.TO,SAP.TO,SJR-B.TO,SLW.TO,SNC.TO,SLF.TO,SU.TO,TLM.TO,TCK-B.TO,T.TO,TRI.TO,THI.TO,TD.TO,TA.TO,TRP.TO,VRX.TO,YRI.TO
2014-01-02,34.41,94.78,28.2,66.11,59.38,21.28,45.02,10.55,3.94,41.91,23.34,84,58.96,35.96,19.1,167.91,93.83,54.19,28.41,34.17,36.67,7.07,45.49,19.83,19.63,19.8,29.44,76.4,59.03,27.31,32.24,45.22,5.11,42.39,93.57,20.15,63.42,40.49,37.14,8.09,33.88,29.4,45.41,67.02,25.92,24.69,23.98,45.56,36.08,35.93,11.75,26.29,37.86,39.08,56.87,46.92,14.06,47.11,151.13,10.28
2014-02-03,35.36,99.54,29.09,70.85,61.53,22.43,46.51,11.05,3.54,44.46,26.44,89.93,61.88,39.9,20.47,172.8,98.55,49.86,28.58,36.17,37.21,7.34,45.87,20.8,21.44,21.34,29.76,79.2,56.55,29.31,32.8,49.46,5.78,45.02,97.49,20.73,61.61,43.12,38.91,8.82,35.51,29.44,41.49,69.96,27.11,23.54,28.01,48.67,38.01,36.1,11.17,24.16,38.15,37.32,59.41,48.86,12.4,47.42,158.06,10.92
2014-03-03,33.31,105.97,29.76,71.84,62.85,19.56,46.45,8.95,4.06,44.62,25.06,93.38,61.68,41.95,22.49,165.09,102.88,49.46,31.46,34.13,38.86,6.14,49.21,23.47,21.7,20.29,30.63,81.51,55.5,26.6,32.59,51.24,4.57,46.46,105.53,21.04,64.61,43.44,41.07,9.12,38.8,29.66,44.88,70.87,27.64,24.62,24.86,47.91,37.95,38.16,10.87,23.41,38.9,37.12,60.53,50.49,12.49,49.36,145.44,9.58
2014-04-01,32.21,103.55,31.88,74.12,65.37,19.02,47.6,8.37,4.35,45.59,23.1,95.8,63.76,44.22,23.04,170.56,106.69,41.64,32.13,39.52,43.17,6.67,51.84,25.24,23.97,21.79,31.29,81.75,55.82,26.76,35.21,53.27,4.45,47.2,106.62,20.31,67.26,44.6,42.27,9.78,38.84,30.29,42.64,71.82,29.09,25.47,24.17,49.27,36.78,41.78,11.18,24.51,37.91,38.96,59.52,51.84,13.02,50.18,146.57,8.12
2014-05-01,32.92,95.77,30.73,74.84,68.35,17.55,48.61,8.27,3.64,46.33,21.47,93.78,65.31,43.7,22.47,180.86,103.66,47.77,31.75,36.9,43.25,6.21,50.85,25.1,24.42,22.82,31.93,78.21,58.92,25.27,35.95,53.14,4.08,45.27,110.57,19.71,66.97,44.61,42.16,9.93,38.57,28.64,42.93,73.28,29.09,25.71,22.47,52.15,36.38,41.24,11.05,23.71,40.19,37.26,58.44,52.85,12.82,49.59,142.34,8.01
2014-06-02,40.77,96.95,32.05,77.1,70.46,19.49,47.79,10.94,3.74,46.73,20.82,96.17,69.18,48.78,23.82,193.01,101.46,47.12,34.32,37.82,46.25,8.15,49.96,25.2,26.7,22.77,31.86,78.33,62.75,29.55,34.15,56.1,4.42,47.41,114.47,21.06,65.97,44.85,45.36,10.42,39.78,29.39,42.5,74.89,31.73,26.22,28.01,55.88,38.88,45.21,11.2,24.36,39.39,38.51,58.1,54,12.9,50.51,134.94,8.73
2014-07-02,40.45,98.58,29.73,80.5,73.3,19.65,48.76,10.19,3.7,48.35,21.87,100.25,72.66,47.29,22.94,207,103.16,49.65,33.22,39.11,43.73,8.08,52.74,23.41,24.93,25.81,32.92,87.29,63.77,29.69,32.87,55.82,4.36,53.39,116.7,22.12,71.09,48.35,45.27,8.44,38.31,31.79,42.14,79.71,33.7,26.67,28.41,57.35,41.21,44.49,11.33,26.13,37.7,40.83,60.62,56.54,12.34,54.25,127.83,9.25
2014-08-01,41.58,101.98,31.21,82.87,71.35,19.99,48.34,11.05,3.63,51.8,21.15,102.92,77.85,47.15,23.42,217.45,111.87,51.23,34.4,38.48,44.46,8.99,53.86,24.99,24.89,24.41,33.21,85.75,62.34,30.4,33.1,57.73,4.3,53.96,123.28,21.95,70.49,51.83,49.67,8.45,37.79,31.75,43.87,80.01,32.94,26.13,27.16,55.68,40.43,44.35,10.85,24.69,39.27,41.2,87.4,56.76,12.54,57.95,127.38,9.21
2014-09-02,32.39,99.56,29.44,81.65,68.61,16.47,47.89,11.16,3.77,50.14,19.76,100.59,79.51,43.51,20.66,232.43,114.29,47.17,30.13,37.84,40.17,7.55,53.25,23.78,21.26,21.62,34.3,88.26,61.27,25.76,30.74,52.91,3.72,56.05,106.3,21.54,74.9,51.03,47.03,7.59,38.38,31.08,41.92,79.29,31.33,26.88,22.34,51.57,40.6,40.53,9.69,21.21,38.24,40.8,88.19,54.8,11.75,57.68,146.75,6.72
2014-10-01,27.67,108.1,26.74,81.19,68.27,13.75,49.76,11.72,3.81,55.01,18.92,102.09,78.17,38.24,17.09,229.27,123.01,53.22,27.33,38.07,36.46,6.74,52.56,20.45,15.93,17.38,36.83,91.97,66.66,20.84,26.63,51.81,2.76,57.99,107.79,20.88,78.31,52.6,46.53,5.04,37.76,29.48,42.2,79.61,31.48,27.03,20,47.64,39.43,39,6.97,17.52,40.41,41.83,90.08,54.75,11,55.21,147.27,4.99
